Ingredient,Foods
sugar,"['Ayam balado', 'Sambalado', 'Bubur kampiun', 'Sarikayo', 'Galamai', 'Keripik balado', 'Kue putu', 'Lupis', 'Pinyaram', 'Lopek sarikayo', 'Wajik', 'Es ampiang dadiah', 'Cindua', 'Teh talua', 'Jariang lado tomat', 'Ayam Cabe Merah', 'Sambal Teri', 'Es Cendol']"
Basmati rice,['Nasi briyani']
pre-cooked dishes,['Nasi padang']
water,"['Asam padeh', 'Ayam goreng', 'Ayam pop goreng', 'Ayam pop rebus', 'Gulai daging', 'Gulai paku', 'Ketupat', 'Roti canai', 'Roti jala', 'Peyek', 'Peyek udang', 'Roti tisu', 'Gulai sayua']"
Cow spleen,['Gulai limpo']
various dishes,['Nasi kapau']
Dried anchovies,['Sambal Teri']
jackfruit,"['Bubur kampiun', 'Es campur', 'Es tebak', 'Ayam Gulai Nangka']"
Tamarind paste,['Kacang Tojin']
Jengkol (stinky beans),['Gulai jariang']
tebak,['Es tebak']
tofu,['Gulai tambusu']
onions,['Nasi briyani']
Tea,"['Teh talua', 'Teh tarik']"
chili,"['Asam padeh', 'Ayam bakar', 'Ayam balado', 'Ayam lado ijo', 'Ayam percik', 'Dendeng balado', 'Dendeng batokok', 'Gulai daging', 'Gulai ati', 'Gulai babek', 'Gulai cancang', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai sumsum', 'Gulai tunjang', 'Gulai talua', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Nasi kari or nasi gulai', 'Rendang', 'Sambal lado tanak', 'Talua balado', 'Terong balado', 'Udang balado', 'Keripik balado', 'Gulai sayua', 'Ayam kurma', 'Jariang lado tomat', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri', 'Ayam Gulai Nangka', 'Pangek Masin', 'Lado Ijo', 'Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
garlic,"['Asam padeh', 'Ayam bakar', 'Ayam balado', 'Ayam bumbu', 'Ayam goreng', 'Ayam lado ijo', 'Ayam percik', 'Ayam pop goreng', 'Ayam pop rebus', 'Sambalado', 'Baluik goreng', 'Daun ubi tumbuk', 'Dendeng', 'Dendeng balado', 'Dendeng batokok', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai cancang', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai sumsum', 'Gulai tunjang', 'Gulai talua', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Lele goreng', 'Martabak', 'Martabak kubang', 'Nasi briyani', 'Nasi kari or nasi gulai', 'Palai', 'Paru goreng', 'Pergedel jaguang', 'Rendang', 'Sambal lado tanak', 'Satay ayam', 'Satay daging', 'Sate padang', 'Soto', 'Soto padang', 'Talua balado', 'Terong balado', 'Udang balado', 'Keripik balado', 'Peyek', 'Peyek udang', 'Gulai sayua', 'Ayam kurma', 'Jariang lado tomat', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri', 'Pangek Masin']"
mung beans,['Bubur kampiun']
Cow bone marrow,['Gulai sumsum']
ginger,"['Asam padeh', 'Ayam bumbu', 'Ayam percik', 'Nasi briyani', 'Soto', 'Ayam kurma', 'Ayam Cabe Merah']"
ginger),['Soto']
Eggs,['Talua balado']
grated coconut,['Palai']
tomatoes,"['Ayam balado', 'Sambalado', 'Dendeng balado', 'Talua balado', 'Terong balado', 'Udang balado']"
sweet soy sauce,"['Satay ayam', 'Satay daging']"
Cow liver,['Gulai ati']
anchovies,"['Sambal lado tanak', 'Sambal Teri']"
or other),['Ikan Panggang']
ghee,"['Nasi briyani', 'Roti canai', 'Roti tisu']"
Glutinous rice,"['Lupis', 'Lopek sarikayo', 'Wajik']"
lupis,['Cindua']
condensed milk,"['Es campur', 'Es tebak', 'Teh tarik']"
durian,['Cindua']
kecap manis (sweet soy sauce),['Ayam bakar']
Ginger (sliced),['Kalio Ayam']
pepper.,['Ikan Panggang']
cardamom,['Nasi briyani']
